id,logtime,campaignid
5767776681449439088,2018-02-22 00:00:00.127,1221633
8047815418162719221,2018-02-22 00:00:01.687,1232120
3042367786416775494,2018-02-22 00:00:03.255,1188683
5571915885765592918,2018-02-22 00:00:04.634,1221633
4564671159070995313,2018-02-22 00:00:05.815,1199166
4258062209306803268,2018-02-22 00:00:09.674,1199166
3565493259205775418,2018-02-22 00:00:11.240,1199166
175665289763121217,2018-02-22 00:00:16.502,1049355
6482015965814532506,2018-02-22 00:00:18.173,1232120
4340448803861105892,2018-02-22 00:00:29.037,1020893
1020088313908700867,2018-02-22 00:00:32.373,1020893
7465170109343406375,2018-02-22 00:00:33.436,1020893
733358493393564048,2018-02-22 00:00:33.979,1020893
6182233510638063679,2018-02-22 00:00:34.664,1049355
1047620230345390332,2018-02-22 00:00:35.658,1188683
5669815099585695597,2018-02-22 00:00:36.065,1049355
2551629486713695291,2018-02-22 00:00:36.380,1232120
1174546253452092090,2018-02-22 00:00:40.222,1049355
4984366831744821293,2018-02-22 00:00:40.309,1199166
1521385565486670709,2018-02-22 00:00:40.748,1049355
6776798193642973012,2018-02-22 00:00:40.753,1199166
6206511541270570236,2018-02-22 00:00:43.040,1221633
1826843671289501168,2018-02-22 00:00:46.362,1221633
6509158951097275344,2018-02-22 00:00:47.482,1188683
4290004855148233268,2018-02-22 00:00:50.611,1188683
8316054439028260246,2018-02-22 00:00:50.612,1221633
5239875246783097653,2018-02-22 00:00:52.461,1049355
1989540271762931628,2018-02-22 00:00:52.650,1049355
8794159144627862402,2018-02-22 00:00:55.006,1020893
6052608382086223771,2018-02-22 00:00:55.757,1221633
3337024024241825174,2018-02-22 00:00:56.131,1049355
91401599400575116,2018-02-22 00:00:56.314,1020893
8524108548002410206,2018-02-22 00:00:56.348,1221633
266516796414778550,2018-02-22 00:00:58.440,1188683
8522047907025944445,2018-02-22 00:00:58.571,1188683
8205047504022856028,2018-02-22 00:00:59.497,1232120
2712918835622345547,2018-02-22 00:01:02.390,1221633
7923899171097146761,2018-02-22 00:01:03.385,1020893
3005687501600471490,2018-02-22 00:01:03.959,1232120
8289522664141568292,2018-02-22 00:01:04.683,1020893
2537760656974753830,2018-02-22 00:01:18.670,1199166
1824139305194843234,2018-02-22 00:01:22.933,1232120
5919549886769641852,2018-02-22 00:01:24.569,1188683
4633541749390526522,2018-02-22 00:01:24.571,1221633
7443884296972096163,2018-02-22 00:01:26.639,1232120
6927949532140397739,2018-02-22 00:01:26.766,1049355
9009849831859208039,2018-02-22 00:01:26.841,1188683
3075049364541519338,2018-02-22 00:01:27.791,1199166
5890600287042586596,2018-02-22 00:01:28.614,1188683
6417953527585788238,2018-02-22 00:01:29.667,1232120
4807682371287282090,2018-02-22 00:01:32.405,1221633
7442317550623667740,2018-02-22 00:01:35.173,1221633
218160151984187265,2018-02-22 00:01:35.626,1188683
2102766540947833154,2018-02-22 00:01:36.562,1188683
602648595016849161,2018-02-22 00:01:37.193,1199166
8506003171801398364,2018-02-22 00:01:37.557,1199166
4381028862560062737,2018-02-22 00:01:37.883,1199166
303118880317979936,2018-02-22 00:01:38.420,1199166
7550639805602848266,2018-02-22 00:01:44.898,1221633
5382067763886006974,2018-02-22 00:01:45.529,1221633
1039331722227815392,2018-02-22 00:01:56.753,1020893
2514032741498185696,2018-02-22 00:01:56.790,1049355
4118277324323911799,2018-02-22 00:01:58.871,1049355
6527811966688114458,2018-02-22 00:02:04.723,1199166
4236238960565385531,2018-02-22 00:02:14.455,1221633
7729057153536380009,2018-02-22 00:02:18.976,1221633
7192281047044176695,2018-02-22 00:02:19.047,1221633
8040400508364612135,2018-02-22 00:02:24.717,1049355
8431378366625962356,2018-02-22 00:02:25.618,1188683
3350129105064791224,2018-02-22 00:02:28.293,1188683
6233007267906848856,2018-02-22 00:02:28.451,1188683
3677869889009563217,2018-02-22 00:02:28.630,1188683
7236933391239120294,2018-02-22 00:02:29.959,1188683
1166585688611077595,2018-02-22 00:02:31.147,1049355
2254162123264464878,2018-02-22 00:02:31.946,1232120
4188105784823879820,2018-02-22 00:02:33.241,1232120
658875715789174950,2018-02-22 00:02:35.082,1188683
4610813877821669896,2018-02-22 00:02:36.726,1188683
2684640402925785446,2018-02-22 00:02:40.976,1188683
3087962326934796071,2018-02-22 00:02:42.892,1020893
4796560790812216047,2018-02-22 00:02:43.747,1188683
1136241340781939397,2018-02-22 00:02:46.391,1221633
5074716186387148899,2018-02-22 00:02:46.944,1020893
6722201501455716035,2018-02-22 00:02:48.074,1232120
4206289423349937468,2018-02-22 00:02:48.607,1232120
1316848828351235073,2018-02-22 00:02:49.084,1020893
2986000856376938580,2018-02-22 00:02:51.288,1221633
6934286297931888894,2018-02-22 00:02:54.003,1188683
3059733682431601786,2018-02-22 00:03:00.679,1188683
808533218222821939,2018-02-22 00:03:02.473,1188683
3894182457641419876,2018-02-22 00:03:02.587,1221633
5336796983625857926,2018-02-22 00:03:03.055,1188683
6473659998389273413,2018-02-22 00:03:05.655,1232120
2345538681266340263,2018-02-22 00:03:16.786,1232120
4283689421058676203,2018-02-22 00:03:16.795,1232120
431721642181382318,2018-02-22 00:03:20.260,1199166
6245235309530256398,2018-02-22 00:03:34.498,1199166
289069467805216717,2018-02-22 00:03:34.876,1020893
7270685864809803487,2018-02-22 00:03:35.335,1020893
3508837027113843840,2018-02-22 00:03:35.924,1221633
6762670987676388834,2018-02-22 00:03:36.552,1232120
5207902604909405512,2018-02-22 00:03:36.683,1221633
3164642680608616812,2018-02-22 00:03:41.291,1221633
8987343463991780089,2018-02-22 00:03:43.439,1221633
4644705530563486970,2018-02-22 00:03:47.937,1188683
3265297824816897298,2018-02-22 00:03:49.236,1020893
3265297824816897298,2018-02-22 00:03:49.881,1020893
1945877307693595435,2018-02-22 00:03:50.517,1020893
3784550733770377953,2018-02-22 00:03:52.317,1020893
2975308214895817061,2018-02-22 00:03:57.241,1020893
6845843556403080410,2018-02-22 00:03:58.134,1020893
3880379796859558905,2018-02-22 00:04:08.824,1188683
8844036564389009751,2018-02-22 00:04:11.772,1221633
8861868159863157655,2018-02-22 00:04:16.360,1049355
2187648497979297914,2018-02-22 00:04:17.879,1232120
6514366647715524578,2018-02-22 00:04:19.446,1188683
6113247164842938715,2018-02-22 00:04:20.199,1188683
4387210399834359046,2018-02-22 00:04:22.838,1188683
4841518907341827351,2018-02-22 00:04:25.687,1049355
7582533443481458103,2018-02-22 00:04:25.760,1049355
5980696485863033902,2018-02-22 00:04:42.115,1020893
9193730796076038023,2018-02-22 00:04:42.685,1188683
7640513510551277784,2018-02-22 00:04:50.227,1232120
243666324819773593,2018-02-22 00:04:57.274,1020893
6690218456747918134,2018-02-22 00:05:00.556,1020893
1403238638762896536,2018-02-22 00:05:00.896,1020893
664205396826446139,2018-02-22 00:05:01.812,1221633
6734569758973050356,2018-02-22 00:05:02.089,1020893
1361686263536337832,2018-02-22 00:05:04.259,1199166
694355061427294299,2018-02-22 00:05:04.359,1049355
4115103971263784011,2018-02-22 00:05:04.792,1020893
1575593541553018693,2018-02-22 00:05:06.116,1199166
4970507070912912097,2018-02-22 00:05:06.319,1199166
3612466730773150431,2018-02-22 00:05:06.741,1049355
175604591830715476,2018-02-22 00:05:10.805,1221633
7714411264986848702,2018-02-22 00:05:17.861,1188683
909792651585527592,2018-02-22 00:05:21.240,1232120
3413240390210486675,2018-02-22 00:05:24.186,1221633
1331794447359716931,2018-02-22 00:05:25.920,1199166
8242600827337210434,2018-02-22 00:05:27.478,1232120
2542861875699481073,2018-02-22 00:05:27.977,1221633
4076092278834338751,2018-02-22 00:05:30.818,1199166
6222376345249781083,2018-02-22 00:05:30.865,1020893
9104041615828197818,2018-02-22 00:05:31.164,1049355
7456336819353267198,2018-02-22 00:05:33.756,1232120
8065600105880053912,2018-02-22 00:05:36.282,1188683
4115205811724119632,2018-02-22 00:05:40.379,1199166
919977491229510850,2018-02-22 00:05:43.525,1221633
9060603658643316716,2018-02-22 00:05:46.093,1221633
4580986963246100249,2018-02-22 00:05:51.587,1221633
6481319099093775632,2018-02-22 00:05:59.382,1188683
7671679285362594315,2018-02-22 00:06:00.255,1188683
913335076076723991,2018-02-22 00:06:01.420,1049355
229798899853841970,2018-02-22 00:06:05.221,1188683
1229862572013026293,2018-02-22 00:06:07.283,1049355
7462702260191792631,2018-02-22 00:06:07.293,1049355
4682475138110069007,2018-02-22 00:06:09.109,1188683
1098614326846285835,2018-02-22 00:06:15.398,1049355
8790262597861089692,2018-02-22 00:06:21.002,1049355
4605669201120351181,2018-02-22 00:06:24.109,1049355
6281134546701330049,2018-02-22 00:06:33.953,1188683
4089737475013766624,2018-02-22 00:06:34.133,1199166
6116037246468035536,2018-02-22 00:06:34.329,1020893
6829123974944792093,2018-02-22 00:06:36.625,1188683
4959542048904783938,2018-02-22 00:06:39.255,1020893
7141137259587055482,2018-02-22 00:06:41.129,1232120
4557472464852916620,2018-02-22 00:06:41.645,1020893
3186205176575902125,2018-02-22 00:06:45.292,1188683
1668672818583017218,2018-02-22 00:06:45.955,1232120
8586957011224788902,2018-02-22 00:06:56.131,1221633
2711220434541158650,2018-02-22 00:06:56.617,1020893
6557115597344875020,2018-02-22 00:06:57.773,1020893
6944863333263682450,2018-02-22 00:07:01.783,1049355
2917514706663932097,2018-02-22 00:07:02.308,1221633
7056656779260375411,2018-02-22 00:07:08.534,1188683
1461307999100409866,2018-02-22 00:07:14.950,1188683
9098408984157649537,2018-02-22 00:07:15.930,1232120
5345072155970222276,2018-02-22 00:07:17.113,1221633
5861483450749920947,2018-02-22 00:07:17.517,1221633
4131122570635197746,2018-02-22 00:07:18.111,1188683
2022896435192789732,2018-02-22 00:07:31.123,1188683
1754630548280169138,2018-02-22 00:07:31.564,1188683
8853645941778142743,2018-02-22 00:07:39.803,1188683
1725862587839477404,2018-02-22 00:07:40.430,1232120
5516956757039902031,2018-02-22 00:07:46.603,1221633
5225065946621435624,2018-02-22 00:07:50.823,1199166
1477686362434595136,2018-02-22 00:07:57.489,1049355
7849994977622891877,2018-02-22 00:07:58.853,1049355
5707276439315744333,2018-02-22 00:08:00.082,1199166
6776673464542700719,2018-02-22 00:08:03.431,1188683
128408944197511518,2018-02-22 00:08:03.993,1020893
6390692500815010631,2018-02-22 00:08:14.088,1188683
1296233377810216219,2018-02-22 00:08:15.900,1221633
6228998313824436367,2018-02-22 00:08:16.630,1221633
6972473249598258866,2018-02-22 00:08:21.479,1020893
8554389684822645091,2018-02-22 00:08:26.442,1049355
5801888745615892809,2018-02-22 00:08:31.822,1049355
5340565829521417532,2018-02-22 00:08:32.905,1221633
764736045331285407,2018-02-22 00:08:35.988,1020893
4158197353186441712,2018-02-22 00:08:36.120,1199166
8297510158668437147,2018-02-22 00:08:41.729,1188683
7078300930154044321,2018-02-22 00:08:42.668,1221633
3284517328794372648,2018-02-22 00:08:46.598,1020893
3835058167459665503,2018-02-22 00:08:47.628,1221633
5196336163784737124,2018-02-22 00:08:48.626,1199166
2431179629857340236,2018-02-22 00:08:51.130,1221633
2367900384352437480,2018-02-22 00:08:51.486,1188683
746336271106621767,2018-02-22 00:08:51.545,1188683
3498795262643209853,2018-02-22 00:08:53.202,1221633
5585223779129645224,2018-02-22 00:08:55.919,1188683
7835247044638620287,2018-02-22 00:08:57.727,1188683
1244278728655888036,2018-02-22 00:09:00.212,1232120
489456479838723739,2018-02-22 00:09:03.413,1221633
3741250736853655660,2018-02-22 00:09:07.105,1049355
3887854782230878914,2018-02-22 00:09:08.307,1199166
6118732578500926419,2018-02-22 00:09:14.113,1049355
7986239963241287886,2018-02-22 00:09:18.009,1020893
1697133599900433379,2018-02-22 00:09:23.061,1199166
8633158838092265344,2018-02-22 00:09:23.337,1188683
743104040743383261,2018-02-22 00:09:23.631,1020893
7496629991831171037,2018-02-22 00:09:23.833,1199166
1529685192157879269,2018-02-22 00:09:26.298,1199166
1993776088327363821,2018-02-22 00:09:28.835,1232120
34980301081683715,2018-02-22 00:09:30.524,1188683
7952208496327922990,2018-02-22 00:09:30.916,1020893
4435516986845736874,2018-02-22 00:09:36.244,1221633
7838318846267744074,2018-02-22 00:09:37.069,1188683
1925408230195953615,2018-02-22 00:09:39.011,1221633
4712834542358494991,2018-02-22 00:09:40.927,1188683
1284596636306901680,2018-02-22 00:09:40.952,1188683
4187563736575160334,2018-02-22 00:09:41.928,1188683
4748959044142880036,2018-02-22 00:09:43.498,1049355
1072676617270805610,2018-02-22 00:09:45.746,1020893
5186379367091073443,2018-02-22 00:09:46.213,1199166
5535338610953702470,2018-02-22 00:09:47.204,1221633
6898332627506651821,2018-02-22 00:09:47.824,1232120
2355166083892584348,2018-02-22 00:09:54.285,1188683
2943853894257444187,2018-02-22 00:09:54.585,1188683
656040008900455431,2018-02-22 00:09:58.226,1221633
7566222844700649239,2018-02-22 00:10:02.835,1221633
4423978803131488221,2018-02-22 00:10:08.766,1199166
4292133948035149194,2018-02-22 00:10:09.324,1188683
5368976513476721999,2018-02-22 00:10:13.775,1049355
8682306058429260707,2018-02-22 00:10:18.004,1049355
5760571724455278129,2018-02-22 00:10:24.031,1020893
653316895436183507,2018-02-22 00:10:27.269,1199166
826292270431594981,2018-02-22 00:10:37.645,1188683
3378992509397972358,2018-02-22 00:10:38.377,1221633
2104593205576638793,2018-02-22 00:10:39.358,1020893
9132143237653408076,2018-02-22 00:10:42.632,1188683
